# detid average_r2s y_intercept_low_hits slope_low_hits y_intercept_high_hits slope_high_hits centroid_r centroid_phi centroid_z
411325554 1787.98489842 -53.0189736421 0.820674903721 -56.0555892657 0.820681407143 42.0360097015 -0.882872770357 -130.609990864
411878505 10793.2478123 119.273891297 0.59587529947 125.12290954 0.595867205803 104.955758724 2.10813119738 -184.487569421
412095594 1238.74272731 -63.980392009 1.59149205518 -68.3919329481 1.59148425345 35.121044474 -0.559952143308 -224.064000704
411878502 10825.9633933 114.051131263 0.488870447212 119.64450137 0.488871091396 104.909094596 2.02508540898 -182.997459262
412095598 1241.26367155 -103.063056429 2.85783229146 -110.169849291 2.85783476671 35.1123728332 -0.336622005418 -222.189003035
419726374 3026.72077127 55.7307430781 -0.240077843173 58.1446512148 -0.240079510723 55.2821229991 1.33638923979 133.62503063
420484198 1236.18797751 -48.1393324148 1.00000291331 -51.4587 1.0 35.1107858582 -0.782324654102 224.063953046
419996798 4014.71501577 -66.6816267529 -0.372982065263 -69.1866456625 -0.372975594369 63.6491162687 -1.92889037824 157.444989258
419726370 3068.8428225 58.6556918419 -0.414208105555 61.196416821 -0.414214395024 55.2471646288 1.17753407149 131.749956975
420484190 1230.79811204 -36.063328332 0.349911319359 -38.5501238022 0.349916024333 35.1033697845 -1.23510800223 224.064016429
419996790 3987.48959601 -78.0437095953 -0.748587587414 -80.9753811246 -0.748578980142 63.5685569767 -2.213227848 157.445076757
419726378 3078.21414739 54.3584651026 -0.0786995563766 56.7129311674 -0.0787017564596 55.2635974847 1.49116068845 131.749955859
420484194 1229.24533228 -40.2015094594 0.628341116669 -42.9736127442 0.628341201556 35.1213504083 -1.01065444359 222.188972069
419996794 4054.98100768 -71.1846346397 -0.546039671132 -73.8589352238 -0.546039092508 63.5537373513 -2.07250712346 155.569993098
411866321 6101.56651027 -156.324979548 1.80935905861 -166.71279306 1.80935248367 77.7551485049 -0.501255256696 -187.50248101
